,bd_rate
4x4-1-8x8-2,0.15546061684901247
4x4-3-8x8-SAD,0.18866377076178775
4x4-3,-0.004486946842852113
4x4-1-8x8-SAD,0.20788606221586736
8x8-3,0.13457760135215935
8x8-1,0.08403996167998251
4x4-1-8x8-1,0.15546061684901247
8x8-SAD,0.1991053171814583
4x4-1-8x8-3,0.15546061684901247
4x4-2-8x8-4,0.15546061684901247
8x8-2,0.11289150562143746
4x4-1-8x8-2,0.9209869629002609
4x4-3-8x8-SAD,0.5704846930021379
4x4-3,-0.07764437696019533
4x4-1-8x8-SAD,0.6329668297265334
8x8-3,0.6490012758707975
8x8-1,0.2703434744116384
4x4-1-8x8-1,0.9209869629002609
8x8-SAD,0.6003256776706101
4x4-1-8x8-3,0.9209869629002609
8x8-2,0.5095343633423788
