Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 66.67      0.02     0.02        1    20.00    20.00  void simdFilter<(X86_VEXT)1, 4, true, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
 33.33      0.03     0.01       33     0.30     0.30  EncGOP::compressGOP(int, int, std::__cxx11::list<Picture*, std::allocator<Picture*> >&, std::__cxx11::list<UnitBuf<short>*, std::allocator<UnitBuf<short>*> >&, bool, bool, InputColourSpaceConversion, bool, bool, bool, int)
  0.00      0.03     0.00   352834     0.00     0.00  EncAppCfg::parseCfg(int, char**)
  0.00      0.03     0.00   156458     0.00     0.00  BitEstimatorBase::getNumBins(unsigned int) const
  0.00      0.03     0.00    28161     0.00     0.00  void simdFilter<(X86_VEXT)4, 2, false, true, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00    12377     0.00     0.00  RdCostWeightPrediction::xGetHADsw(DistParam const&)
  0.00      0.03     0.00     8775     0.00     0.00  Slice::initEqualRef()
  0.00      0.03     0.00     8764     0.00     0.00  VPS::deriveTargetOLSIdx()
  0.00      0.03     0.00     7634     0.00     0.00  EncLib::xInitSPS(SPS&)
  0.00      0.03     0.00     7013     0.00     0.00  EncLib::init(AUWriterIf*)
  0.00      0.03     0.00     6956     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<4, (X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00     4307     0.00     0.00  CoeffCodingContext::initSubblock(int, bool)
  0.00      0.03     0.00     3871     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_copy<std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Reuse_or_alloc_node>(std::_Rb_tree_node<std::pair<int const, double> > const*, std::_Rb_tree_node_base*, std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Reuse_or_alloc_node&)
  0.00      0.03     0.00     3732     0.00     0.00  PelStorage::getBuf(CompArea const&)
  0.00      0.03     0.00     3709     0.00     0.00  RdCost::xGetSAD64(DistParam const&)
  0.00      0.03     0.00     3699     0.00     0.00  EncLib::xInitVPS(SPS const&)
  0.00      0.03     0.00     3524     0.00     0.00  initROM()
  0.00      0.03     0.00     3409     0.00     0.00  SMultiValueInput<unsigned short>::readValue(char const*&, bool&)
  0.00      0.03     0.00     3072     0.00     0.00  void simdFilter<(X86_VEXT)4, 2, true, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00     2773     0.00     0.00  unsigned long RdCost::xGetHADs_SIMD<(X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00     2382     0.00     0.00  EncLib::PPSNeedsWriting(int)
  0.00      0.03     0.00     2112     0.00     0.00  APS::~APS()
  0.00      0.03     0.00     2052     0.00     0.00  CtxStore<BinProbModel_Std>::savePStates(std::vector<unsigned short, std::allocator<unsigned short> >&) const
  0.00      0.03     0.00     2008     0.00     0.00  RdCost::xGetMRSAD16N(DistParam const&)
  0.00      0.03     0.00     1913     0.00     0.00  void simdFilter<(X86_VEXT)4, 2, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00     1481     0.00     0.00  CtxStore<BinProbModel_Std>::setWinSizes(std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.00      0.03     0.00     1480     0.00     0.00  main
  0.00      0.03     0.00     1378     0.00     0.00  RateCtrl::getRCPic()
  0.00      0.03     0.00     1321     0.00     0.00  df::program_options_lite::Option<int>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00     1266     0.00     0.00  AreaBuf<short>::addWeightedAvg(AreaBuf<short const> const&, AreaBuf<short const> const&, ClpRng const&, signed char)
  0.00      0.03     0.00     1190     0.00     0.00  std::vector<unsigned short, std::allocator<unsigned short> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned long, unsigned short const&)
  0.00      0.03     0.00     1182     0.00     0.00  EncLib::xInitDCI(DCI&, SPS const&)
  0.00      0.03     0.00     1077     0.00     0.00  df::program_options_lite::Option<double>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00     1061     0.00     0.00  RectSlice::~RectSlice()
  0.00      0.03     0.00      994     0.00     0.00  CoeffCodingContext::deriveRiceExt(int, int const*, int)
  0.00      0.03     0.00      990     0.00     0.00  UnitBuf<short>::operator UnitBuf<short const>() const
  0.00      0.03     0.00      990     0.00     0.00  void std::deque<EncGOP::DUData, std::allocator<EncGOP::DUData> >::emplace_back<EncGOP::DUData>(EncGOP::DUData&&)
  0.00      0.03     0.00      989     0.00     0.00  EncLib::EncLib(EncLibCommon*)
  0.00      0.03     0.00      982     0.00     0.00  void simdFilter<(X86_VEXT)3, 4, false, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)
  0.00      0.03     0.00      971     0.00     0.00  CU::isLastSubCUOfCtu(CodingUnit const&)
  0.00      0.03     0.00      938     0.00     0.00  DCI::~DCI()
  0.00      0.03     0.00      918     0.00     0.00  EncLib::destroy()
  0.00      0.03     0.00      914     0.00     0.00  unsigned long RdCost::xGetSADwMask_SIMD<(X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00      876     0.00     0.00  MergeCtx::setMergeInfo(PredictionUnit&, int)
  0.00      0.03     0.00      872     0.00     0.00  ParameterSetMap<APS>::allocatePS(int)
  0.00      0.03     0.00      867     0.00     0.00  EncLib::checkPltStats(Picture*)
  0.00      0.03     0.00      866     0.00     0.00  df::program_options_lite::Option<ScalingListMode>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
  0.00      0.03     0.00      858     0.00     0.00  unsigned long RdCost::xGetSAD_NxN_SIMD<16, (X86_VEXT)4>(DistParam const&)
  0.00      0.03     0.00      841     0.00     0.00  Exception& Exception::operator<< <unsigned int>(unsigned int)
  0.00      0.03     0.00      823     0.00     0.00  CtxStore<BinProbModel_Std>::CtxStore(bool)
  0.00      0.03     0.00      821     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...) [clone .constprop.0]
  0.00      0.03     0.00      800     0.00     0.00  SMultiValueInput<unsigned int>::readValue(char const*&, bool&)
  0.00      0.03     0.00      786     0.00     0.00  EncGOP::destroy()
  0.00      0.03     0.00      784     0.00     0.00  df::program_options_lite::Option<std::map<int, double, std::less<int>, std::allocator<std::pair<int const, double> > > >::~Option()
  0.00      0.03     0.00      772     0.00     0.00  df::program_options_lite::Option<bool>::parse(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, df::program_options_lite::ErrorReporter&)
