satd,video,cfg,bd_rate
4x4-1-8x8-2.cpp,RaceHorses,intra,0.18722121072021203
4x4-1-8x8-2.cpp,RaceHorses,lowdelay,1.1116267366571897
4x4-1-8x8-2.cpp,RaceHorses,randomaccess,0.5577788359815816
4x4-1-8x8-2.cpp,BQMall,intra,0.08575943484903092
4x4-1-8x8-2.cpp,BQMall,lowdelay,0.5826187399496696
4x4-1-8x8-2.cpp,BQMall,randomaccess,0.006290660852137364
4x4-1-8x8-2.cpp,RitualDance,intra,0.22857518178780456
4x4-1-8x8-2.cpp,RitualDance,lowdelay,0.6757458322533161
4x4-1-8x8-2.cpp,BasketballPass,intra,0.13479599100909567
4x4-1-8x8-2.cpp,BasketballPass,lowdelay,0.7895695402373448
4x4-1-8x8-2.cpp,BasketballPass,randomaccess,0.47194084463517694
4x4-1-8x8-2.cpp,BasketballDrive,intra,0.15546061684901247
4x4-1-8x8-2.cpp,BasketballDrive,lowdelay,0.9209869629002609
4x4-3-8x8-SAD.cpp,RaceHorses,intra,0.25162745562667954
4x4-3-8x8-SAD.cpp,RaceHorses,lowdelay,0.3089578841726004
4x4-3-8x8-SAD.cpp,RaceHorses,randomaccess,0.2229220924898856
4x4-3-8x8-SAD.cpp,BQMall,intra,0.11179891729937719
4x4-3-8x8-SAD.cpp,BQMall,lowdelay,0.48201942583523394
4x4-3-8x8-SAD.cpp,BQMall,randomaccess,-0.009039159113466422
4x4-3-8x8-SAD.cpp,RitualDance,intra,0.30734599531978546
4x4-3-8x8-SAD.cpp,RitualDance,lowdelay,0.943194148096338
4x4-3-8x8-SAD.cpp,RitualDance,randomaccess,1.0084789379187775
4x4-3-8x8-SAD.cpp,BasketballPass,intra,0.12542920228280074
4x4-3-8x8-SAD.cpp,BasketballPass,lowdelay,0.3903942394171578
4x4-3-8x8-SAD.cpp,BasketballPass,randomaccess,-0.36811603109939695
4x4-3-8x8-SAD.cpp,BasketballDrive,intra,0.18866377076178775
4x4-3-8x8-SAD.cpp,BasketballDrive,lowdelay,0.5704846930021379
4x4-3-8x8-SAD.cpp,BasketballDrive,randomaccess,0.7381768550480894
4x4-3.cpp,RaceHorses,intra,0.0942088316980838
4x4-3.cpp,RaceHorses,lowdelay,0.3212973932513741
4x4-3.cpp,RaceHorses,randomaccess,-0.12758489589146382
4x4-3.cpp,BQMall,intra,0.012922643704715853
4x4-3.cpp,BQMall,lowdelay,-0.004009004752780765
4x4-3.cpp,BQMall,randomaccess,-0.1591585452137556
4x4-3.cpp,RitualDance,intra,0.07514267155408483
4x4-3.cpp,RitualDance,lowdelay,0.03745345694539104
4x4-3.cpp,RitualDance,randomaccess,0.18841442644004225
4x4-3.cpp,BasketballPass,intra,-0.06467021325056166
4x4-3.cpp,BasketballPass,lowdelay,0.45606331908976117
4x4-3.cpp,BasketballPass,randomaccess,0.06324184600241534
4x4-3.cpp,BasketballDrive,intra,-0.004486946842852113
4x4-3.cpp,BasketballDrive,lowdelay,-0.07764437696019533
4x4-3.cpp,BasketballDrive,randomaccess,0.02423845809409464
4x4-1-8x8-SAD,RaceHorses,intra,0.19630074249223917
4x4-1-8x8-SAD,RaceHorses,lowdelay,0.44352064653248036
4x4-1-8x8-SAD,RaceHorses,randomaccess,0.07463174304551679
4x4-1-8x8-SAD,BQMall,intra,0.11516240436011405
4x4-1-8x8-SAD,BQMall,lowdelay,0.09567788604967209
4x4-1-8x8-SAD,BQMall,randomaccess,0.05374181903403663
4x4-1-8x8-SAD,RitualDance,intra,0.2807503801183442
4x4-1-8x8-SAD,RitualDance,lowdelay,0.6250344881566727
4x4-1-8x8-SAD,RitualDance,randomaccess,0.9490527654035796
4x4-1-8x8-SAD,BasketballPass,intra,0.042735291039086576
4x4-1-8x8-SAD,BasketballPass,lowdelay,0.03372602517015544
4x4-1-8x8-SAD,BasketballPass,randomaccess,-0.09257165767857511
4x4-1-8x8-SAD,BasketballDrive,intra,0.20788606221586736
4x4-1-8x8-SAD,BasketballDrive,lowdelay,0.6329668297265334
4x4-1-8x8-SAD,BasketballDrive,randomaccess,0.6627541894270506
8x8-3,RaceHorses,intra,0.13356109197717458
8x8-3,RaceHorses,lowdelay,0.35136671372721917
8x8-3,RaceHorses,randomaccess,0.052655771855847355
8x8-3,BQMall,intra,0.06126958296175378
8x8-3,BQMall,lowdelay,0.4717395249469236
8x8-3,BQMall,randomaccess,-0.1385969201431969
8x8-3,RitualDance,intra,0.1843546737095192
8x8-3,RitualDance,lowdelay,0.38461689496385176
8x8-3,RitualDance,randomaccess,0.7205939457747945
8x8-3,BasketballPass,intra,0.05805003122121288
8x8-3,BasketballPass,lowdelay,1.0251855165231971
8x8-3,BasketballPass,randomaccess,0.34326348051507694
8x8-3,BasketballDrive,intra,0.13457760135215935
8x8-3,BasketballDrive,lowdelay,0.6490012758707975
8x8-3,BasketballDrive,randomaccess,0.5827435796340152
8x8-1,RaceHorses,intra,0.06706745252957891
8x8-1,RaceHorses,lowdelay,0.059920703829430266
8x8-1,RaceHorses,randomaccess,0.0032722301976706447
8x8-1,BQMall,intra,0.03350175639040831
8x8-1,BQMall,lowdelay,0.31441445549842406
8x8-1,BQMall,randomaccess,-0.17910041630774254
8x8-1,RitualDance,intra,0.11328337166114366
8x8-1,RitualDance,lowdelay,0.3297543346001186
8x8-1,RitualDance,randomaccess,0.49891342349943635
8x8-1,BasketballPass,intra,0.04617976709042626
8x8-1,BasketballPass,lowdelay,0.28106119759927495
8x8-1,BasketballPass,randomaccess,-0.12755436228469863
8x8-1,BasketballDrive,intra,0.08403996167998251
8x8-1,BasketballDrive,lowdelay,0.2703434744116384
8x8-1,BasketballDrive,randomaccess,0.24341092825890254
4x4-1-8x8-1.cpp,RaceHorses,intra,0.18722121072021203
4x4-1-8x8-1.cpp,RaceHorses,lowdelay,1.1116267366571897
4x4-1-8x8-1.cpp,RaceHorses,randomaccess,0.5577788359815816
4x4-1-8x8-1.cpp,BQMall,intra,0.08575943484903092
4x4-1-8x8-1.cpp,BQMall,lowdelay,0.5826187399496696
4x4-1-8x8-1.cpp,BQMall,randomaccess,0.006290660852137364
4x4-1-8x8-1.cpp,RitualDance,intra,0.22857518178780456
4x4-1-8x8-1.cpp,RitualDance,lowdelay,0.6757458322533161
4x4-1-8x8-1.cpp,RitualDance,randomaccess,0.8903575956562104
4x4-1-8x8-1.cpp,BasketballPass,intra,0.13479599100909567
4x4-1-8x8-1.cpp,BasketballPass,lowdelay,0.7895695402373448
4x4-1-8x8-1.cpp,BasketballPass,randomaccess,0.47194084463517694
4x4-1-8x8-1.cpp,BasketballDrive,intra,0.15546061684901247
4x4-1-8x8-1.cpp,BasketballDrive,lowdelay,0.9209869629002609
4x4-1-8x8-1.cpp,BasketballDrive,randomaccess,0.538079343927178
8x8-SAD,RaceHorses,intra,0.16104808154908667
8x8-SAD,RaceHorses,lowdelay,0.6741868351708868
8x8-SAD,RaceHorses,randomaccess,0.3284627894276193
8x8-SAD,BQMall,intra,0.056782315213310675
8x8-SAD,BQMall,lowdelay,0.26489211672524604
8x8-SAD,BQMall,randomaccess,0.04708848049888026
8x8-SAD,RitualDance,intra,0.3166962302229681
8x8-SAD,RitualDance,lowdelay,0.7599993242747294
8x8-SAD,RitualDance,randomaccess,0.9779470440043347
8x8-SAD,BasketballPass,intra,0.08640146820888539
8x8-SAD,BasketballPass,lowdelay,0.4161906249114944
8x8-SAD,BasketballPass,randomaccess,0.21688099663847993
8x8-SAD,BasketballDrive,intra,0.1991053171814583
8x8-SAD,BasketballDrive,lowdelay,0.6003256776706101
8x8-SAD,BasketballDrive,randomaccess,0.5124586302919898
4x4-1-8x8-3.cpp,RaceHorses,intra,0.18722121072021203
4x4-1-8x8-3.cpp,RaceHorses,lowdelay,1.1116267366571897
4x4-1-8x8-3.cpp,RaceHorses,randomaccess,0.5577788359815816
4x4-1-8x8-3.cpp,BQMall,intra,0.08575943484903092
4x4-1-8x8-3.cpp,BQMall,lowdelay,0.5826187399496696
4x4-1-8x8-3.cpp,BQMall,randomaccess,0.006290660852137364
4x4-1-8x8-3.cpp,RitualDance,intra,0.22857518178780456
4x4-1-8x8-3.cpp,RitualDance,lowdelay,0.6757458322533161
4x4-1-8x8-3.cpp,RitualDance,randomaccess,0.8903575956562104
4x4-1-8x8-3.cpp,BasketballPass,intra,0.13479599100909567
4x4-1-8x8-3.cpp,BasketballPass,lowdelay,0.7895695402373448
4x4-1-8x8-3.cpp,BasketballPass,randomaccess,0.47194084463517694
4x4-1-8x8-3.cpp,BasketballDrive,intra,0.15546061684901247
4x4-1-8x8-3.cpp,BasketballDrive,lowdelay,0.9209869629002609
4x4-1-8x8-3.cpp,BasketballDrive,randomaccess,0.538079343927178
4x4-2-8x8-4.cpp,RitualDance,intra,0.22857518178780456
4x4-2-8x8-4.cpp,RitualDance,lowdelay,0.6757458322533161
4x4-2-8x8-4.cpp,BasketballDrive,intra,0.15546061684901247
8x8-2,RaceHorses,intra,0.0946585753933693
8x8-2,RaceHorses,lowdelay,0.2808305362961505
8x8-2,RaceHorses,randomaccess,0.07853354236699861
8x8-2,BQMall,intra,0.036502509885139034
8x8-2,BQMall,lowdelay,0.31673563375986813
8x8-2,BQMall,randomaccess,-0.04304557089097605
8x8-2,RitualDance,intra,0.1463186101070324
8x8-2,RitualDance,lowdelay,0.4185083261345257
8x8-2,RitualDance,randomaccess,0.5384830697119591
8x8-2,BasketballPass,intra,0.03644397291791002
8x8-2,BasketballPass,lowdelay,0.32700926526136875
8x8-2,BasketballPass,randomaccess,-0.21355180488555892
8x8-2,BasketballDrive,intra,0.11289150562143746
8x8-2,BasketballDrive,lowdelay,0.5095343633423788
8x8-2,BasketballDrive,randomaccess,0.09432190681770702
